epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99091,0.78527,2.10443,1.49607,0.59253,0.79476,0.70056,0.60161,0.57374,1.54361,1.32584,5.716e-05,5.716e-05,5.716e-05
2,4.17846,0.78306,2.23668,1.46607,0.65602,0.77808,0.65917,0.54294,0.58967,1.58213,1.36113,0.000127337,0.000127337,0.000127337
3,5.343,0.66099,1.81684,1.28976,0.48421,0.875,0.71353,0.56939,0.97914,1.54121,1.80931,0.000196099,0.000196099,0.000196099
4,6.72025,0.56401,1.32988,1.09702,0.91209,0.66667,0.89761,0.75743,0.94096,1.31855,1.63343,0.000263446,0.000263446,0.000263446
5,8.30038,0.40095,1.19753,0.93581,0.96997,0.6384,0.77018,0.67106,0.7599,1.64282,1.38842,0.000329379,0.000329379,0.000329379
6,9.57374,0.44881,0.7286,0.95092,0.9077,0.73301,0.8564,0.69292,0.9832,1.1581,1.5398,0.000393897,0.000393897,0.000393897
7,10.8616,0.40199,0.62136,0.91578,0.9808,0.66667,0.87709,0.72238,0.91577,1.17396,1.36433,0.000457,0.000457,0.000457
8,12.0771,0.33712,0.65131,0.90026,0.83082,0.81793,0.87159,0.74582,1.01906,1.40067,1.58387,0.000518688,0.000518688,0.000518688
9,13.3783,0.40498,0.51005,0.89492,0.73289,0.81708,0.73855,0.5846,1.15048,1.91566,1.86295,0.000578962,0.000578962,0.000578962
10,14.6849,0.42539,0.48914,0.89475,0.71326,0.71877,0.81553,0.61669,1.26586,3.26214,1.85724,0.000637821,0.000637821,0.000637821
11,15.9999,0.3622,0.4131,0.84704,0.71686,0.875,0.9135,0.7715,0.83393,1.59205,1.55529,0.000695266,0.000695266,0.000695266
12,17.4104,0.40973,0.39636,0.87221,0.7076,0.8561,0.90683,0.76464,0.79646,1.52516,1.83391,0.000751295,0.000751295,0.000751295
13,18.7663,0.37831,0.35755,0.88024,0.82103,0.75,0.86061,0.69443,0.80461,1.3782,1.6525,0.00080591,0.00080591,0.00080591
14,20.14,0.39411,0.60696,0.83274,0.74375,0.33333,0.22992,0.20887,1.08151,4.42504,2.04627,0.000859111,0.000859111,0.000859111
15,21.4334,0.43285,0.435,0.87601,0.66851,0.58673,0.66485,0.52385,0.93825,1.73491,1.80955,0.000910896,0.000910896,0.000910896
16,22.7655,0.49369,0.79751,0.93397,0.64103,0.77005,0.77821,0.62325,0.96491,1.41353,1.71054,0.000961267,0.000961267,0.000961267
17,24.0906,0.51952,0.66175,0.95723,0.50603,0.73757,0.59525,0.43471,1.06091,2.12819,1.74498,0.00101022,0.00101022,0.00101022
18,25.3858,0.45605,0.48734,0.89701,0.47013,0.61724,0.46697,0.33925,1.04249,1.8597,1.64301,0.00105776,0.00105776,0.00105776
19,26.6,0.45661,0.52565,0.90724,0.61417,0.56173,0.62825,0.43503,1.10183,1.66908,1.68304,0.00110389,0.00110389,0.00110389
20,27.9311,0.45078,0.67736,0.86427,0.55517,0.6,0.61744,0.43502,1.14104,1.6722,1.64812,0.0011486,0.0011486,0.0011486
21,29.2802,0.41751,0.4042,0.85202,0.86952,0.41563,0.47085,0.36211,0.88395,1.84602,1.29635,0.00114606,0.00114606,0.00114606
22,30.6451,0.44517,0.42458,0.8949,0.83561,0.45126,0.65528,0.54153,0.842,1.57193,1.30324,0.00113191,0.00113191,0.00113191
23,31.8913,0.39326,0.53829,0.88957,0.51192,0.71829,0.70444,0.53664,0.83958,1.34556,1.3487,0.00111776,0.00111776,0.00111776
24,33.1965,0.39466,0.51681,0.87531,0.78075,0.83333,0.85052,0.75278,0.73403,0.7854,1.24099,0.00110362,0.00110362,0.00110362
25,34.4575,0.42716,0.51522,0.8667,0.87881,0.66667,0.83428,0.69031,0.74888,1.30656,1.24944,0.00108947,0.00108947,0.00108947
26,35.7335,0.41738,0.52025,0.8719,0.57424,0.67688,0.69431,0.55125,0.84299,1.78188,1.25521,0.00107532,0.00107532,0.00107532
27,36.9595,0.38252,0.55505,0.83769,0.55089,0.77506,0.72825,0.56659,0.96013,1.4985,1.42547,0.00106118,0.00106118,0.00106118
28,38.2386,0.46509,0.55554,0.89084,0.94252,0.63627,0.92034,0.74001,1.01327,1.4752,1.63945,0.00104703,0.00104703,0.00104703
29,39.5654,0.42669,0.46028,0.88902,0.61892,0.83333,0.6912,0.45128,0.99333,1.29181,1.70363,0.00103288,0.00103288,0.00103288
30,40.8456,0.45735,0.4468,0.92091,0.6892,0.83333,0.90975,0.72473,0.90956,1.19921,1.71753,0.00101873,0.00101873,0.00101873
31,42.1526,0.41486,0.3921,0.90998,0.71391,0.83885,0.98409,0.81371,0.85623,1.30405,1.6549,0.00100459,0.00100459,0.00100459
32,43.6116,0.4126,0.41872,0.88297,0.88188,0.90578,0.97833,0.76709,0.78786,0.70215,1.42474,0.00099044,0.00099044,0.00099044
33,44.9819,0.42879,0.44172,0.87591,0.91772,0.87918,0.92611,0.73357,0.84842,0.86198,1.42147,0.000976293,0.000976293,0.000976293
34,46.3323,0.4055,0.40425,0.85003,0.92532,0.8288,0.96713,0.68554,0.9891,0.99558,1.78289,0.000962146,0.000962146,0.000962146
35,47.7036,0.43325,0.38417,0.86436,0.79638,0.8368,0.96824,0.7049,1.20613,1.04764,2.1512,0.000947999,0.000947999,0.000947999
36,49.0027,0.40939,0.37343,0.84698,0.76783,0.875,0.9087,0.7141,0.9673,1.11673,1.84941,0.000933851,0.000933851,0.000933851
37,50.2909,0.39227,0.37493,0.86882,0.7041,0.91354,0.85239,0.66181,0.9356,1.10947,1.71603,0.000919704,0.000919704,0.000919704
38,51.5449,0.37334,0.35812,0.82254,0.85137,0.95833,0.98409,0.81604,0.72283,0.6744,1.44926,0.000905557,0.000905557,0.000905557
39,53.0165,0.38625,0.37505,0.83767,0.87265,0.93948,0.95702,0.83025,0.63526,0.48999,1.32935,0.00089141,0.00089141,0.00089141
40,54.4168,0.36754,0.34125,0.82036,0.89299,0.83333,0.91593,0.83179,0.66772,0.93637,1.2663,0.000877263,0.000877263,0.000877263
41,55.7745,0.36126,0.32596,0.84733,0.82407,0.74979,0.8957,0.75176,1.03787,1.73935,1.68313,0.000863116,0.000863116,0.000863116
42,57.087,0.34555,0.3262,0.81991,0.95908,0.5,0.70181,0.59713,0.98453,1.9927,1.70198,0.000848969,0.000848969,0.000848969
